UniqueCount	AmbigCount
63	0
1	0
7	1
11	0
7	4
1	0
0	1
3	0
0	0
3	0
8	1
2	0
3	0
4	1
11	3
1	0
2	1
3	0
8	0
1	1
7	1
4	0
9	0
4	2
15	0
1	0
1	0
5	0
1	0
3	1
4	0
2	0
3	0
10	0
14	0
3	0
0	0
0	0
2	0
2	0
2	0
7	0
1	0
10	0
11	0
1	0
4	0
6	0
8	0
8	0
11	1
7	0
4	0
15	3
6	0
19	1
11	0
6	0
12	0
10	0
0	0
0	0
38	0
21	0
62	0
27	0
16	2
7	0
0	0
48	1
7	0
0	0
7	0
0	0
32	0
0	0
2	0
2	1
1	0
10	1
0	0
0	0
0	0
0	0
0	0
0	3
105	0
121	82
997	138
0	180
0	10
19	62
0	644
56	20
0	15
0	212
59	21
0	64
120	642
78	619
67	135
0	41
0	228
7	56
8	58
6	0
448	73
75	122
2	41
16	37
95	116
252	236
39	207
169	369
51	93
162	175
354	504
3	7
40	44
46	77
0	326
38	246
1	151
0	392
3	19
1	496
0	20
0	20
0	57
197	154
6	3
0	64
4	20
125	15
1	180
1	171
2	291
0	652
1	0
107	93
1	228
21	240
0	133
0	24
0	15
0	212
2	362
0	444
0	41
140	129
0	11
0	131
0	114
0	50
0	26
323	132
0	294
17	1
103	9
0	0
0	10
0	66
34	159
0	164
16	37
142	15
0	0
42	60
0	284
155	4
0	85
0	91
165	23
46	1
96	1
153	1
10	0
50	0
1	0
236	14
255	45
0	18
34	0
0	0
80	123
31	10
0	23
0	320
83	11
114	30
4	0
49	40
0	171
0	131
0	84
0	361
0	0
1	7
1	0
53	1
349	21
224	111
0	0
503	5
358	6
50	66
12	13
597	306
0	320
3	0
1	23
0	66
0	76
3	67
88	3
63	0
99	121
4	0
373	7
0	91
0	451
0	24
0	114
0	283
6	330
59	37
0	50
1	66
0	164
0	0
6	206
1	29
0	5
0	0
0	3
0	3
513	11
0	496
0	17
0	392
5	245
30	26
0	326
2	12
4	40
1	7
13	438
0	0
1	68
16	132
4	359
69	149
1	204
4	314
0	14
1	5
0	73
0	0
1	18
0	42
0	78
0	0
0	5
0	77
5	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
244116	36250
239789	170804
803805	597426
399657	77631
51709	32372
224876	189590
528317	84835
102847	370
80306	15727
613842	18705
345105	1759
2155	101
359634	1213
0	25010
3	16711
14	0
0	0
0	0
74	290
0	201
161	297
0	0
0	0
11	0
7	667
12	216
0	1134
166	1
0	0
51	88
11	38
167	32
294	712
0	0
0	8
0	8
0	0
0	32
0	364
0	10
0	10
0	0
0	0
0	1
63	571
0	40
71	5
1	483
4	41
2	0
0	0
0	6
1	6
0	38
0	0
1	5
0	0
0	7759
13	7468
0	7516
12	6432
2	7452
0	7049
44	5905
0	6788
0	4950
6	6889
0	5685
0	5330
0	4144
0	3606
25	4805
0	2720
0	2124
3	1236
0	951
23	1203
0	254
15	602
0	292
0	0
0	0
0	0
0	0
0	0
0	0
0	485
20	485
0	124
2	45
22	28
0	26
0	0
0	1
0	1
54	16
9	16
2849	923
16	648
0	648
45	405
0	36
26	1933
0	12722
2	639
0	12747
4	136
5	762
5	1813
0	12651
4	1044
0	2
0	0
0	34
0	1
0	1
10	5
0	0
0	1
0	0
0	845
0	1953
1	5361
218	20
14	4797
0	414
1	266
0	4053
4	1557
296	4973
0	847
75	301
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
397	943
0	645
35	673
2	261
0	34445
0	39651
9	33507
0	28430
0	31804
0	36911
0	0
0	0
0	0
0	0
0	38767
0	33560
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	79425
0	56805
0	79427
1	57890
0	77147
0	77155
0	77121
0	54532
0	54499
2	54883
154	76540
0	53913
0	53576
2	54499
0	76344
0	76536
2	76172
0	74762
2	73924
