UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
14	0
12	0
0	7
0	0
0	2
0	11
2	0
0	0
0	6
0	0
0	1
3	11
5	12
0	2
0	0
0	7
0	0
3	0
0	0
14	0
1	0
0	1
1	0
4	0
11	3
1	4
9	10
3	0
6	1
32	2
0	0
5	3
2	0
0	11
1	8
0	2
0	6
0	1
0	18
0	0
0	0
0	0
7	0
1	0
0	1
0	0
4	0
0	7
0	5
0	1
0	11
0	0
4	2
0	7
2	0
0	2
0	1
0	0
0	6
0	6
0	7
0	0
9	4
0	1
0	1
0	4
1	2
0	1
7	1
0	2
3	0
3	0
0	0
0	0
0	1
3	6
0	1
0	2
1	0
0	0
1	0
0	4
5	0
0	5
0	0
1	0
5	0
1	0
0	0
0	0
3	0
0	0
6	0
9	4
0	0
2	0
0	0
4	2
0	1
0	0
0	7
0	1
10	0
0	0
1	0
0	5
0	1
0	5
0	6
0	0
0	0
0	0
0	0
3	0
8	3
0	0
7	0
17	0
3	0
0	0
31	3
0	7
0	0
1	0
0	1
0	1
0	0
2	0
4	0
3	0
0	0
7	0
0	0
0	7
0	1
0	4
0	4
0	4
2	1
0	2
0	1
1	1
0	0
0	2
0	0
0	0
0	0
0	0
0	0
12	0
0	18
0	1
0	6
0	8
0	0
0	11
0	0
0	3
0	0
0	2
0	0
0	1
3	1
0	10
0	0
0	4
0	2
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3863	285
2336	997
7812	2632
2344	142
606	16
2543	859
2404	168
450	1
649	9
5037	42
3714	0
100	0
3510	0
0	73
0	45
8	0
0	0
0	0
12	27
0	19
1	27
0	0
0	0
3	3
0	5
1	19
0	33
16	0
0	0
0	0
1	0
44	2
3	5
0	0
0	27
0	27
0	0
0	0
