UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
188	2
217	0
0	415
0	0
0	0
0	39
0	0
0	1
0	1
1	0
0	0
51	24
208	24
106	36
0	3
0	3
0	0
1	0
0	0
89	0
16	0
1	0
83	2
42	0
69	73
0	143
79	24
132	17
0	0
88	29
0	1
1	0
86	0
0	1
57	1
0	1
0	33
0	1
0	232
0	1
0	1
0	0
2	0
0	0
0	0
0	0
87	0
0	415
0	91
139	23
0	39
1	0
1	1
0	3
1	0
0	36
0	1
0	1
0	1
0	40
0	57
0	3
124	44
0	0
0	3
0	1
0	0
0	0
1	1
0	45
1	0
27	0
0	0
0	0
0	0
58	44
0	1
0	0
293	0
0	0
21	0
0	85
0	0
0	307
0	0
22	22
0	0
0	0
0	0
0	0
32	0
0	0
1	0
418	16
0	18
0	0
0	0
0	47
0	0
0	0
0	204
26	0
255	18
1	0
2	0
0	91
0	3
0	307
0	40
0	0
0	0
0	0
0	0
38	0
148	70
0	0
49	0
103	0
1	0
0	0
384	70
0	204
0	0
0	0
0	2
0	4
0	0
28	0
49	0
303	2
0	0
233	0
0	0
0	57
0	1
0	1
0	85
0	86
138	0
0	0
0	0
0	1
0	0
0	34
0	0
0	0
0	0
0	1
0	0
43	0
0	232
0	1
0	33
0	1
1	11
0	1
0	0
0	0
13	1
13	12
0	0
0	0
0	17
0	24
17	10
0	143
0	90
0	0
0	0
0	2
0	0
0	0
0	1
0	1
0	0
0	1
0	4
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3999	426
2600	1252
7222	991
3475	121
1093	41
2528	735
3909	102
3143	0
867	0
6370	2
3865	0
12	0
4634	0
0	457
0	455
0	0
0	0
0	0
4	7
0	1
0	9
0	0
0	0
0	0
0	39
0	3
103	77
0	0
1	0
187	0
0	0
17	0
6	2
0	0
0	0
0	0
0	0
0	0
