UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	0
300	21
224	5
0	57
0	0
2	7
0	101
22	4
0	10
0	179
14	1
0	11
5	161
20	160
10	17
0	12
0	64
0	8
10	6
11	0
243	2
32	10
4	5
13	4
50	16
187	45
10	44
89	140
47	11
42	18
512	98
11	8
35	14
87	6
0	140
23	154
3	40
0	103
0	3
0	280
0	2
0	2
0	6
47	18
2	0
0	11
2	8
48	0
0	58
0	99
56	59
0	102
1	0
5	5
1	64
93	37
0	17
0	10
0	10
3	179
1	63
3	194
0	12
64	29
0	0
1	19
0	20
0	35
0	17
69	15
28	46
1	0
55	0
0	0
0	0
0	12
32	39
0	82
8	0
22	0
5	0
54	3
0	31
29	0
2	19
0	101
98	3
9	0
2	0
57	0
6	0
41	0
0	0
30	0
143	7
0	12
11	0
0	0
83	16
51	1
0	5
0	91
70	1
95	12
0	0
5	6
0	99
0	19
0	19
0	63
0	0
0	0
0	0
8	0
38	0
133	9
0	0
116	0
60	0
7	1
0	0
352	14
0	90
0	0
5	5
0	6
0	15
3	8
20	0
18	0
109	25
1	0
84	0
0	101
0	194
0	10
0	20
0	31
0	44
3	0
0	35
0	12
0	82
0	0
1	52
0	0
1	0
0	0
0	0
0	0
274	0
0	280
0	3
0	103
2	154
34	3
0	140
0	0
4	14
1	8
9	86
0	0
5	16
5	11
5	141
17	36
0	44
6	57
0	1
2	2
0	6
0	0
1	10
0	3
0	3
0	0
0	1
0	16
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3420	333
2665	3196
72768	36557
17362	1049
322	8
4832	1516
41511	2096
4089	1
2371	2
8371	104
5424	4
40	0
9813	6
0	1812
2	982
90	0
0	1
0	1
67	129
0	52
34	137
0	2
0	1
130	21
4	231
4	52
0	300
27	0
0	0
29	19
4	0
288	34
48	107
0	0
0	0
0	0
